artist,title,writer,publisher,theme
"Musical Linn Twins, The",Rockin' Out The Bloues,T. Linn|C. Linn,publishing pending,
Phil Flowers,Chapel On The Hill,Phil Flowers,publishing pending,
Botumles Pit,13 Stories High,The Botumles Pit,publishing pending,
Rising Suns ,I'm Blue,The Rising Suns,publishing pending,
C.J and The Casuals,Zombie,Casuals,Publishing pending,
"Upsetters, The","Where You Goin' there, Sapphire",Upsetters,publishing pending,
"Vi-Tones, The",Kamikaze,Vi-Tones,publishing pending,
"Knaughty Knights, The",Connection,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Wildebeests, The ",Please Go Home,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Reigning Sound,I'd Rather Be With The Boys,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Hentchmen, The","Surprise, Surprise",Jagger-Richard,"Abkco Music Pub, BMI",Rolling Stones
"Little Killers, The",Think,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Dartford Renegades, The",Off The Hook,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Question Mark and The Mysterians,Empty Heart,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Dexter Romweber Duo,Heart Of Stone,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Real Kids, The",Out Of Time,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Janet St. Clair and The Real Kids,Ride On Baby,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Queensberry Terrors, The",Citadel,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Mad Shadows, The",Child Of The Moon,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Swinging' Neckbreakers, The",It's Not Easy,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Shanks, The",Doncha Bother Me,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Lyres,Now I've Got A Witness,Nanker Phelge,"Abkco Music Pub, BMI",Rolling Stones
New Conolly 5,Stoned,Nanker Phelge,"Abkco Music Pub, BMI",Rolling Stones
"A-Bones, The",Miss Amanda Jones,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Rotting Stumps,My Obsession,Jagger-Richard,"Abkco Music Pub, BMI",Rolling Stones
Andre Williams and the A-Bones,The Spider And The Fly,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Greasy Chickens, The",Andre's Blues,Nanker Phelge,"Abkco Music Pub, BMI",Rolling Stones
The 5.6.7.8's,19th Nervous Breakdown,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Church Keys, The",Who's Driving Your Plane,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Greenhornes, The",Sad Day,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Thee Shams,Under My Thumb,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
King Khan And BBQ Show,Flight 505,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Flakes, The",Stupid Girl,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Dirtbombs, The",No Expectations,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Love Supremes, The",Sing This All Together,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Sky Saxon And The Seeds,The Singer Not The Song,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Lairds, The",Something Happened To Me Yesterday,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Black Lips,What To Do,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Demon's Claws,Factory Girl,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Stalkers,Take It Or Leave It,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Alarm Clocks, The",The Last Time,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Bloodshot Bill,High And Dry,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Rockin' Enocky,Mother's Little Helper,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
Bo-Keys,Congratulations,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Royal Pendletones, The",Tell Me,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Tandoori Knights, The",Gomper,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Wrecked Angles, The",2120 South Michigan Avenue,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Gaye Blades, The",Ruby Tuesday,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Girls At Dawn, The",That Girl Belongs To Yesterday,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
"Parting Gifts, The",(walkin' thru the)Sleepy City,Jagger-Richards,"Abkco Music Pub, BMI",Rolling Stones
